word,count
entregar,1
tiro,1
metendo,1
punham,1
parecesse,1
tinto,1
quadris,1
coxas,1
vazios,1
barriga,1
estômago,1
comia,1
desfazia,1
saía,1
implicarem,1
pensavam,1
acenavam,1
saíssem,1
viemo,1
tangendo,1
trombetas,1
gaitas,1
constranger,1
espraia,1
descobre,1
cascalho,1
buscar,1
marisco,1
camarões,1
grossos,1
vinha,1
cascas,1
berbigões,1
amêijoas,1
toparam,1
peça,1
inteira,1
termos,1
aportou,1
companhia,1
descobrir,1
viagem,1
falas,1
resolução,1
tomada,1
par,1
deixando,1
lugar,1
necessário,1
dizerem,1
perguntam,1
informação,1
deixássemos,1
entende,1
cedo,1
aprenderiam,1
saberem,1
estoutros,1
digam,1
cá,1
cuidássemos,1
escândalo,1
sim,1
apaziguar,1
unicamente,1
partíssemos,1
determinado,1
fôssemos,1
quejando,1
folgarmos,1
armados,1
chegássemos,1
ensino,1
dantes,1
saíssemos,1
proas,1
ancho,1
jogo,1
mancal,1
desembarcamos,1
aguardavam,1
tomassem,1
colo,1
chamou,1
reconhecerem,1
passava,1
falavam,1
ditas,1
resgatavam,1
veríeis,1
pintados,1
novas,1
coxa,1
quadril,1
nádega,1
natural,1
curvas,1
colos,1
descobertas,1
nisso,1
desvergonha,1
menino,1
menina,1
atado,1
perninhas,1
mãe,1
seguida,1
subindo,1
rente,1
esperou,1
pá,1
falou,1
presença,1
perguntava,1
desejávamos,1
cabia,1
polegar,1
fechava,1
diabo,1
estivemos,1
rindo,1
dizendo,1
chalaças,1
enfadou,1
deixou,1
valer,1
desembarcado,1
dançando,1
tomarem,1
banda,1
almoxarife,1
sacavém,1
gracioso,1
gaiteiro,1
tomando,1
dançarem,1
voltas,1
ligeiras,1
salto,1
real,1
espantavam,1
conquanto,1
segurou,1
afagou,1
esquiveza,1
animais,1
monteses,1
rentes,1
lagoa,1
ribeira,1
apaulada,1
sai,1
lugares,1
levaram,1
tubarão,1
matou,1
bastará,1
amansassem,1
pardais,1
cevadouro,1
ousa,1
rijo,1
passa,1
amansarmos,1
falado,1
conversa,1
despediu,1
passar,1
recatando,1
quis,1
teve,1
nunca,1
apareceram,1
fatos,1
deduzo,1
bestial,1
esquiva,1
curados,1
convenço,1
alimárias,1
montesinhas,1
melhores,1
cabelo,1
mansas,1
gordos,1
presumir,1
moradias,1
recolham,1
nenhumas,1
pareça,1
regressou,1
consentir,1
tomara,1
fugia,1
queixou,1
após,1
vira,1
choupaninhas,1
rama,1
feteiras,1
vezes,1
afastados,1
abraçavam,1
folhas,1
papel,1
carapucinha,1
velha,1
nossas,1
barretes,1
amarelos,1
brincaram,1
andarmos,1
tinturas,1
metades,1
ras,1
bastantes,1
ouriços,1
castanheiras,1
cheios,1
grãos,1
esmagando,1
desfaziam,1
tinta,1
tingidos,1
molhavam,1
